Daily NAV History	Balanced Income	Balanced	Balanced Growth	Dividend	Equity Growth
March 01, 2018	$12.91	$14.19	$14.89	$10.96	$18.20
February 28, 2018	$12.93	$14.25	$14.98	$11.03	$18.36
February 27, 2018	$12.93	$14.30	$15.07	$11.11	$18.52
February 26, 2018	$12.96	$14.34	$15.11	$11.16	$18.58
February 23, 2018	$12.92	$14.26	$15.01	$11.09	$18.42
February 22, 2018	$12.86	$14.17	$14.90	$10.99	$18.27
February 21, 2018	$12.83	$14.14	$14.87	$10.98	$18.24
February 20, 2018	$12.83	$14.13	$14.85	$10.93	$18.19
February 16, 2018	$12.83	$14.13	$14.85	$10.95	$18.19
February 15, 2018	$12.79	$14.07	$14.78	$10.89	$18.10
February 14, 2018	$12.75	$14.00	$14.69	$10.79	$17.95
February 13, 2018	$12.75	$13.95	$14.61	$10.76	$17.82
February 12, 2018	$12.74	$13.95	$14.61	$10.77	$17.81
February 09, 2018	$12.69	$13.84	$14.47	$10.67	$17.60
February 08, 2018	$12.68	$13.84	$14.47	$10.67	$17.59
February 07, 2018	$12.76	$14.00	$14.68	$10.86	$17.93
February 06, 2018	$12.77	$13.99	$14.67	$10.83	$17.90
February 05, 2018	$12.79	$14.02	$14.69	$10.86	$17.92
February 02, 2018	$12.87	$14.20	$14.93	$11.08	$18.32
February 01, 2018	$12.92	$14.29	$15.06	$11.19	$18.52
January 31, 2018	$12.96	$14.33	$15.09	$11.22	$18.54
January 30, 2018	$12.97	$14.36	$15.13	$11.25	$18.61
January 29, 2018	$13.01	$14.44	$15.23	$11.34	$18.77
January 26, 2018	$13.05	$14.50	$15.32	$11.42	$18.89
January 25, 2018	$13.03	$14.45	$15.24	$11.36	$18.78
January 24, 2018	$13.03	$14.47	$15.28	$11.39	$18.86
January 23, 2018	$13.06	$14.53	$15.35	$11.45	$18.96
January 22, 2018	$13.04	$14.51	$15.32	$11.47	$18.91
January 19, 2018	$13.03	$14.47	$15.28	$11.43	$18.85
January 18, 2018	$13.02	$14.45	$15.24	$11.40	$18.79
January 17, 2018	$13.04	$14.47	$15.26	$11.41	$18.80
January 16, 2018	$13.02	$14.41	$15.19	$11.34	$18.69
January 15, 2018	$13.02	$14.43	$15.22	$11.35	$18.74
January 12, 2018	$13.03	$14.45	$15.23	$11.36	$18.77
January 11, 2018	$13.01	$14.42	$15.20	$11.32	$18.71
January 10, 2018	$12.99	$14.36	$15.12	$11.28	$18.59
January 09, 2018	$12.97	$14.35	$15.11	$11.30	$18.59
January 08, 2018	$12.98	$14.33	$15.07	$11.29	$18.51
January 05, 2018	$12.97	$14.32	$15.07	$11.30	$18.50
January 04, 2018	$13.02	$14.38	$15.13	$11.33	$18.58
January 03, 2018	$13.01	$14.33	$15.05	$11.28	$18.45
January 02, 2018	$12.97	$14.26	$14.97	$11.26	$18.34
December 29, 2017	$12.98	$14.24	$14.94	$11.25	$18.27
December 28, 2017	$13.00	$14.29	$14.99	$11.26	$18.34
December 27, 2017	$13.04	$14.32	$15.03	$11.27	$18.38
December 22, 2017	$13.03	$14.33	$15.05	$11.30	$18.44
December 21, 2017	$13.24	$14.54	$15.25	$11.48	$18.65
December 20, 2017	$13.28	$14.59	$15.31	$11.52	$18.73
December 19, 2017	$13.32	$14.63	$15.35	$11.56	$18.77
December 18, 2017	$13.36	$14.66	$15.37	$11.58	$18.78
December 15, 2017	$13.33	$14.58	$15.26	$11.51	$18.60
December 14, 2017	$13.30	$14.55	$15.23	$11.51	$18.57
December 13, 2017	$13.33	$14.60	$15.30	$11.56	$18.67
December 12, 2017	$13.32	$14.60	$15.30	$11.55	$18.68
December 11, 2017	$13.31	$14.58	$15.27	$11.53	$18.63
December 08, 2017	$13.30	$14.56	$15.25	$11.51	$18.59
December 07, 2017	$13.27	$14.50	$15.18	$11.45	$18.49
December 06, 2017	$13.24	$14.43	$15.08	$11.40	$18.34
December 05, 2017	$13.20	$14.39	$15.04	$11.37	$18.29
December 04, 2017	$13.20	$14.42	$15.08	$11.41	$18.37
December 01, 2017	$13.22	$14.44	$15.11	$11.42	$18.40
November 30, 2017	$13.27	$14.55	$15.24	$11.52	$18.61
November 29, 2017	$13.24	$14.48	$15.16	$11.46	$18.48
November 28, 2017	$13.26	$14.48	$15.16	$11.44	$18.46
November 27, 2017	$13.21	$14.41	$15.06	$11.37	$18.32
November 24, 2017	$13.21	$14.41	$15.07	$11.39	$18.34
November 23, 2017	$13.20	$14.40	$15.05	$11.35	$18.31
November 22, 2017	$13.19	$14.38	$15.04	$11.35	$18.29
November 21, 2017	$13.17	$14.38	$15.04	$11.38	$18.31
November 20, 2017	$13.14	$14.34	$15.00	$11.35	$18.25
November 17, 2017	$13.15	$14.34	$15.00	$11.34	$18.24
November 16, 2017	$13.11	$14.29	$14.94	$11.31	$18.16
November 15, 2017	$13.13	$14.28	$14.91	$11.27	$18.09
November 14, 2017	$13.12	$14.29	$14.94	$11.31	$18.16
November 13, 2017	$13.11	$14.29	$14.94	$11.31	$18.17
November 10, 2017	$13.11	$14.29	$14.93	$11.29	$18.16
November 09, 2017	$13.14	$14.32	$14.97	$11.33	$18.21
November 08, 2017	$13.18	$14.38	$15.04	$11.38	$18.30
November 07, 2017	$13.21	$14.41	$15.07	$11.41	$18.34
November 06, 2017	$13.17	$14.37	$15.03	$11.37	$18.29
November 03, 2017	$13.15	$14.35	$15.01	$11.37	$18.27
November 02, 2017	$13.15	$14.36	$15.03	$11.37	$18.30
November 01, 2017	$13.16	$14.39	$15.07	$11.41	$18.37
October 31, 2017	$13.15	$14.38	$15.05	$11.38	$18.34
October 30, 2017	$13.12	$14.33	$15.00	$11.34	$18.26
October 27, 2017	$13.11	$14.33	$15.01	$11.35	$18.29
October 26, 2017	$13.06	$14.26	$14.92	$11.31	$18.17
October 25, 2017	$13.03	$14.22	$14.88	$11.26	$18.10
October 24, 2017	$13.01	$14.19	$14.84	$11.25	$18.05
October 23, 2017	$13.01	$14.17	$14.81	$11.23	$17.99
October 20, 2017	$13.00	$14.16	$14.80	$11.22	$17.98
October 19, 2017	$12.97	$14.09	$14.70	$11.13	$17.83
October 18, 2017	$12.96	$14.07	$14.69	$11.12	$17.81
October 17, 2017	$12.98	$14.12	$14.74	$11.18	$17.90
